Date,emeteur,recepteur,Prix TTC
2017-02-10,TERRILACTI,CA17,"1025,74"
2017-02-20,TERRILACTI,CA17,"769,31"
2017-02-28,TERRILACTI,CA17,"769,31"
2017-03-10,TERRILACTI,CA17,"1041,77"
2017-03-20,TERRILACTI,CA17,"781,33"
2017-03-31,TERRILACTI,CA17,"781,32"
2017-04-10,TERRILACTI,CA17,1664
2017-04-20,TERRILACTI,CA17,1248
2017-04-28,TERRILACTI,CA17,1248
2017-05-10,TERRILACTI,CA17,"1765,38"
2017-05-22,TERRILACTI,CA17,"1324,04"
2017-05-31,TERRILACTI,CA17,"1324,03"
2017-06-12,TERRILACTI,CA17,"1979,1"
2017-06-20,TERRILACTI,CA17,"1409,33"
2017-06-30,TERRILACTI,CA17,"1409,32"
2017-07-10,TERRILACTI,CA17,"1654,04"
2017-07-20,TERRILACTI,CA17,"1240,53"
2017-07-31,TERRILACTI,CA17,"1240,52"
2017-08-10,TERRILACTI,CA17,"1840,92"
2017-08-21,TERRILACTI,CA17,"1380,69"
2017-08-31,TERRILACTI,CA17,"1380,7"
2017-09-11,TERRILACTI,CA17,"1619,39"
2017-09-20,TERRILACTI,CA17,"1214,54"
2017-09-29,TERRILACTI,CA17,"1214,55"
2017-10-10,TERRILACTI,CA17,"1914,44"
2017-10-20,TERRILACTI,CA17,"1435,83"
2017-10-31,TERRILACTI,CA17,"1435,84"
2017-11-10,TERRILACTI,CA17,"2145,14"
2017-11-20,TERRILACTI,CA17,"1608,86"
2017-11-30,TERRILACTI,CA17,"1608,86"
2017-12-11,TERRILACTI,CA17,"1701,53"
2017-12-20,TERRILACTI,CA17,"1276,15"
2017-12-29,TERRILACTI,CA17,"1276,15"
2018-01-10,TERRILACTI,CA17,"1446,33"
2018-01-22,TERRILACTI,CA17,"1084,75"
2018-01-31,TERRILACTI,CA17,"1084,74"
2018-02-12,TERRILACTI,CA17,"1128,38"
2018-02-20,TERRILACTI,CA17,"846,28"
2018-02-28,TERRILACTI,CA17,"846,28"
2018-03-12,TERRILACTI,CA17,"1217,02"
2018-03-20,TERRILACTI,CA17,"912,77"
2018-03-30,TERRILACTI,CA17,"912,77"
2018-04-10,TERRILACTI,CA17,"1463,58"
2018-04-20,TERRILACTI,CA17,"1097,68"
2018-04-30,TERRILACTI,CA17,"1097,68"
2018-05-11,TERRILACTI,CA17,"1532,23"
2018-05-22,TERRILACTI,CA17,"1149,17"
2018-05-31,TERRILACTI,CA17,"1149,18"
2018-06-11,TERRILACTI,CA17,"1719,72"
2018-06-20,TERRILACTI,CA17,"1289,79"
2018-06-29,TERRILACTI,CA17,"1289,78"
2018-07-10,TERRILACTI,CA17,"1900,64"
2018-07-20,TERRILACTI,CA17,"1425,48"
2018-07-31,TERRILACTI,CA17,"1425,48"
2018-08-10,TERRILACTI,CA17,"1477,72"
2018-08-20,TERRILACTI,CA17,"1108,29"
2018-08-31,TERRILACTI,CA17,"1108,3"
2018-09-10,TERRILACTI,CA17,"1007,04"
2018-09-20,TERRILACTI,CA17,"755,28"
2018-09-28,TERRILACTI,CA17,"755,28"
2018-10-10,TERRILACTI,CA17,"511,15"
2018-10-22,TERRILACTI,CA17,"383,36"
2018-10-31,TERRILACTI,CA17,"383,37"
2018-11-12,TERRILACTI,CA17,"624,72"
2018-11-20,TERRILACTI,CA17,"468,54"
2018-11-30,TERRILACTI,CA17,"468,53"
2018-12-10,TERRILACTI,CA17,"700,48"
2018-12-20,TERRILACTI,CA17,"525,36"
2018-12-31,TERRILACTI,CA17,"525,36"
2019-01-10,TERRILACTI,CA17,"774,12"
2019-01-21,TERRILACTI,CA17,"580,59"
2019-01-31,TERRILACTI,CA17,"580,59"
2019-02-11,TERRILACTI,CA17,"674,79"
2019-02-20,TERRILACTI,CA17,"506,09"
2019-02-28,TERRILACTI,CA17,"506,09"
2019-03-11,TERRILACTI,CA17,"660,23"
2019-03-20,TERRILACTI,CA17,"495,17"
2019-03-29,TERRILACTI,CA17,"495,17"
2019-04-10,TERRILACTI,CA17,"997,08"
2019-04-23,TERRILACTI,CA17,"748,35"
2019-04-30,TERRILACTI,CA17,"748,36"
2019-05-10,TERRILACTI,CA17,"1235,2"
2019-05-20,TERRILACTI,CA17,"926,4"
2019-05-31,TERRILACTI,CA17,"926,4"
